"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloguer_mitja","Preu"
2021,1,1,"Ciutat Vella",1,"el Raval","Lloguer mitjà mensual (Euros/mes)","759.2"
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Lloguer mitjà mensual (Euros/mes)","929.6"
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjà mensual (Euros/mes)","808.9"
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjà mensual (Euros/mes)","879.4"
2021,1,2,"Eixample",5,"el Fort Pienc","Lloguer mitjà mensual (Euros/mes)","918.0"
2021,1,2,"Eixample",6,"la Sagrada Família","Lloguer mitjà mensual (Euros/mes)","887.1"
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjà mensual (Euros/mes)","1176.7"
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)","1040.2"
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)","964.0"
2021,1,2,"Eixample",10,"Sant Antoni","Lloguer mitjà mensual (Euros/mes)","898.7"
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Lloguer mitjà mensual (Euros/mes)","781.6"
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Lloguer mitjà mensual (Euros/mes)","--"
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Lloguer mitjà mensual (Euros/mes)","810.6"
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Lloguer mitjà mensual (Euros/mes)","799.5"
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Lloguer mitjà mensual (Euros/mes)","778.4"
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Lloguer mitjà mensual (Euros/mes)","807.6"
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Lloguer mitjà mensual (Euros/mes)","788.1"
2021,1,3,"Sants-Montjuïc",18,"Sants","Lloguer mitjà mensual (Euros/mes)","829.1"
2021,1,4,"Les Corts",19,"les Corts","Lloguer mitjà mensual (Euros/mes)","990.3"
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Lloguer mitjà mensual (Euros/mes)","927.3"
2021,1,4,"Les Corts",21,"Pedralbes","Lloguer mitjà mensual (Euros/mes)","1598.2"
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Lloguer mitjà mensual (Euros/mes)","1531.7"
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Lloguer mitjà mensual (Euros/mes)","1263.9"
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Lloguer mitjà mensual (Euros/mes)","1578.0"
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Lloguer mitjà mensual (Euros/mes)","1264.8"
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Lloguer mitjà mensual (Euros/mes)","1294.9"
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Lloguer mitjà mensual (Euros/mes)","990.1"
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Lloguer mitjà mensual (Euros/mes)","959.0"
2021,1,6,"Gràcia",29,"el Coll","Lloguer mitjà mensual (Euros/mes)","745.4"
2021,1,6,"Gràcia",30,"la Salut","Lloguer mitjà mensual (Euros/mes)","859.1"
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Lloguer mitjà mensual (Euros/mes)","910.6"
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Lloguer mitjà mensual (Euros/mes)","865.3"
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Lloguer mitjà mensual (Euros/mes)","817.3"
2021,1,7,"Horta-Guinardó",34,"Can Baró","Lloguer mitjà mensual (Euros/mes)","741.1"
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Lloguer mitjà mensual (Euros/mes)","791.7"
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Lloguer mitjà mensual (Euros/mes)","795.0"
2021,1,7,"Horta-Guinardó",37,"el Carmel","Lloguer mitjà mensual (Euros/mes)","668.8"
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Lloguer mitjà mensual (Euros/mes)","716.1"
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Lloguer mitjà mensual (Euros/mes)","700.5"
2021,1,7,"Horta-Guinardó",40,"Montbau","Lloguer mitjà mensual (Euros/mes)","741.4"
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Lloguer mitjà mensual (Euros/mes)","827.0"
2021,1,7,"Horta-Guinardó",42,"la Clota","Lloguer mitjà mensual (Euros/mes)","--"
2021,1,7,"Horta-Guinardó",43,"Horta","Lloguer mitjà mensual (Euros/mes)","747.4"
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Lloguer mitjà mensual (Euros/mes)","736.5"
2021,1,8,"Nou Barris",45,"Porta","Lloguer mitjà mensual (Euros/mes)","707.2"
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Lloguer mitjà mensual (Euros/mes)","687.2"
2021,1,8,"Nou Barris",47,"Can Peguera","Lloguer mitjà mensual (Euros/mes)","--"
2021,1,8,"Nou Barris",48,"la Guineueta","Lloguer mitjà mensual (Euros/mes)","691.6"
2021,1,8,"Nou Barris",49,"Canyelles","Lloguer mitjà mensual (Euros/mes)","762.5"
2021,1,8,"Nou Barris",50,"les Roquetes","Lloguer mitjà mensual (Euros/mes)","643.6"
2021,1,8,"Nou Barris",51,"Verdun","Lloguer mitjà mensual (Euros/mes)","631.6"
2021,1,8,"Nou Barris",52,"la Prosperitat","Lloguer mitjà mensual (Euros/mes)","671.8"
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Lloguer mitjà mensual (Euros/mes)","605.0"
2021,1,8,"Nou Barris",54,"Torre Baró","Lloguer mitjà mensual (Euros/mes)","--"
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Lloguer mitjà mensual (Euros/mes)","520.2"
2021,1,8,"Nou Barris",56,"Vallbona","Lloguer mitjà mensual (Euros/mes)","--"
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Lloguer mitjà mensual (Euros/mes)","625.1"
2021,1,9,"Sant Andreu",58,"Baró de Viver","Lloguer mitjà mensual (Euros/mes)","--"
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Lloguer mitjà mensual (Euros/mes)","658.9"
2021,1,9,"Sant Andreu",60,"Sant Andreu","Lloguer mitjà mensual (Euros/mes)","762.5"
2021,1,9,"Sant Andreu",61,"la Sagrera","Lloguer mitjà mensual (Euros/mes)","759.3"
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Lloguer mitjà mensual (Euros/mes)","756.9"
2021,1,9,"Sant Andreu",63,"Navas","Lloguer mitjà mensual (Euros/mes)","824.2"
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Lloguer mitjà mensual (Euros/mes)","814.5"
2021,1,10,"Sant Martí",65,"el Clot","Lloguer mitjà mensual (Euros/mes)","853.6"
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Lloguer mitjà mensual (Euros/mes)","927.5"
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Lloguer mitjà mensual (Euros/mes)","1298.9"
2021,1,10,"Sant Martí",68,"el Poblenou","Lloguer mitjà mensual (Euros/mes)","928.5"
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Lloguer mitjà mensual (Euros/mes)","978.4"
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Lloguer mitjà mensual (Euros/mes)","704.2"
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Lloguer mitjà mensual (Euros/mes)","976.7"
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Lloguer mitjà mensual (Euros/mes)","794.6"
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Lloguer mitjà mensual (Euros/mes)","740.8"
2021,1,1,"Ciutat Vella",1,"el Raval","Lloguer mitjà per superfície (Euros/m2 mes)","12.8"
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Lloguer mitjà per superfície (Euros/m2 mes)","12.3"
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjà per superfície (Euros/m2 mes)","15.5"
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjà per superfície (Euros/m2 mes)","13.3"
2021,1,2,"Eixample",5,"el Fort Pienc","Lloguer mitjà per superfície (Euros/m2 mes)","12.9"
2021,1,2,"Eixample",6,"la Sagrada Família","Lloguer mitjà per superfície (Euros/m2 mes)","13.5"
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjà per superfície (Euros/m2 mes)","13.0"
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjà per superfície (Euros/m2 mes)","13.7"
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjà per superfície (Euros/m2 mes)","13.6"
2021,1,2,"Eixample",10,"Sant Antoni","Lloguer mitjà per superfície (Euros/m2 mes)","12.5"
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Lloguer mitjà per superfície (Euros/m2 mes)","13.5"
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Lloguer mitjà per superfície (Euros/m2 mes)","--"
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Lloguer mitjà per superfície (Euros/m2 mes)","11.6"
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Lloguer mitjà per superfície (Euros/m2 mes)","12.7"
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Lloguer mitjà per superfície (Euros/m2 mes)","12.9"
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Lloguer mitjà per superfície (Euros/m2 mes)","12.2"
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Lloguer mitjà per superfície (Euros/m2 mes)","13.0"
2021,1,3,"Sants-Montjuïc",18,"Sants","Lloguer mitjà per superfície (Euros/m2 mes)","13.2"
2021,1,4,"Les Corts",19,"les Corts","Lloguer mitjà per superfície (Euros/m2 mes)","13.8"
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Lloguer mitjà per superfície (Euros/m2 mes)","12.5"
2021,1,4,"Les Corts",21,"Pedralbes","Lloguer mitjà per superfície (Euros/m2 mes)","14.0"
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Lloguer mitjà per superfície (Euros/m2 mes)","15.7"
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Lloguer mitjà per superfície (Euros/m2 mes)","15.6"
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Lloguer mitjà per superfície (Euros/m2 mes)","16.0"
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Lloguer mitjà per superfície (Euros/m2 mes)","15.2"
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Lloguer mitjà per superfície (Euros/m2 mes)","14.3"
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Lloguer mitjà per superfície (Euros/m2 mes)","14.1"
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Lloguer mitjà per superfície (Euros/m2 mes)","13.6"
2021,1,6,"Gràcia",29,"el Coll","Lloguer mitjà per superfície (Euros/m2 mes)","12.5"
2021,1,6,"Gràcia",30,"la Salut","Lloguer mitjà per superfície (Euros/m2 mes)","12.8"
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Lloguer mitjà per superfície (Euros/m2 mes)","14.2"
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Lloguer mitjà per superfície (Euros/m2 mes)","13.6"
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Lloguer mitjà per superfície (Euros/m2 mes)","12.3"
2021,1,7,"Horta-Guinardó",34,"Can Baró","Lloguer mitjà per superfície (Euros/m2 mes)","12.7"
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Lloguer mitjà per superfície (Euros/m2 mes)","12.3"
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Lloguer mitjà per superfície (Euros/m2 mes)","12.3"
2021,1,7,"Horta-Guinardó",37,"el Carmel","Lloguer mitjà per superfície (Euros/m2 mes)","11.4"
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Lloguer mitjà per superfície (Euros/m2 mes)","11.8"
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Lloguer mitjà per superfície (Euros/m2 mes)","10.4"
2021,1,7,"Horta-Guinardó",40,"Montbau","Lloguer mitjà per superfície (Euros/m2 mes)","11.2"
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Lloguer mitjà per superfície (Euros/m2 mes)","11.9"
2021,1,7,"Horta-Guinardó",42,"la Clota","Lloguer mitjà per superfície (Euros/m2 mes)","--"
2021,1,7,"Horta-Guinardó",43,"Horta","Lloguer mitjà per superfície (Euros/m2 mes)","11.8"
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Lloguer mitjà per superfície (Euros/m2 mes)","11.3"
2021,1,8,"Nou Barris",45,"Porta","Lloguer mitjà per superfície (Euros/m2 mes)","11.5"
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Lloguer mitjà per superfície (Euros/m2 mes)","11.0"
2021,1,8,"Nou Barris",47,"Can Peguera","Lloguer mitjà per superfície (Euros/m2 mes)","--"
2021,1,8,"Nou Barris",48,"la Guineueta","Lloguer mitjà per superfície (Euros/m2 mes)","9.9"
2021,1,8,"Nou Barris",49,"Canyelles","Lloguer mitjà per superfície (Euros/m2 mes)","9.3"
2021,1,8,"Nou Barris",50,"les Roquetes","Lloguer mitjà per superfície (Euros/m2 mes)","11.6"
2021,1,8,"Nou Barris",51,"Verdun","Lloguer mitjà per superfície (Euros/m2 mes)","12.5"
2021,1,8,"Nou Barris",52,"la Prosperitat","Lloguer mitjà per superfície (Euros/m2 mes)","11.8"
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Lloguer mitjà per superfície (Euros/m2 mes)","11.5"
2021,1,8,"Nou Barris",54,"Torre Baró","Lloguer mitjà per superfície (Euros/m2 mes)","--"
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Lloguer mitjà per superfície (Euros/m2 mes)","9.0"
2021,1,8,"Nou Barris",56,"Vallbona","Lloguer mitjà per superfície (Euros/m2 mes)","--"
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Lloguer mitjà per superfície (Euros/m2 mes)","10.7"
2021,1,9,"Sant Andreu",58,"Baró de Viver","Lloguer mitjà per superfície (Euros/m2 mes)","--"
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Lloguer mitjà per superfície (Euros/m2 mes)","10.9"
2021,1,9,"Sant Andreu",60,"Sant Andreu","Lloguer mitjà per superfície (Euros/m2 mes)","11.7"
2021,1,9,"Sant Andreu",61,"la Sagrera","Lloguer mitjà per superfície (Euros/m2 mes)","12.1"
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Lloguer mitjà per superfície (Euros/m2 mes)","11.7"
2021,1,9,"Sant Andreu",63,"Navas","Lloguer mitjà per superfície (Euros/m2 mes)","12.2"
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Lloguer mitjà per superfície (Euros/m2 mes)","12.9"
2021,1,10,"Sant Martí",65,"el Clot","Lloguer mitjà per superfície (Euros/m2 mes)","13.0"
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Lloguer mitjà per superfície (Euros/m2 mes)","13.5"
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Lloguer mitjà per superfície (Euros/m2 mes)","17.3"
2021,1,10,"Sant Martí",68,"el Poblenou","Lloguer mitjà per superfície (Euros/m2 mes)","14.3"
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Lloguer mitjà per superfície (Euros/m2 mes)","15.1"
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Lloguer mitjà per superfície (Euros/m2 mes)","11.4"
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Lloguer mitjà per superfície (Euros/m2 mes)","13.5"
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Lloguer mitjà per superfície (Euros/m2 mes)","11.3"
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Lloguer mitjà per superfície (Euros/m2 mes)","11.1"
2021,2,1,"Ciutat Vella",1,"el Raval","Lloguer mitjà mensual (Euros/mes)","774.2"
2021,2,1,"Ciutat Vella",2,"el Barri Gòtic","Lloguer mitjà mensual (Euros/mes)","934.1"
2021,2,1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjà mensual (Euros/mes)","814.8"
2021,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjà mensual (Euros/mes)","862.1"
2021,2,2,"Eixample",5,"el Fort Pienc","Lloguer mitjà mensual (Euros/mes)","907.1"
2021,2,2,"Eixample",6,"la Sagrada Família","Lloguer mitjà mensual (Euros/mes)","887.4"
2021,2,2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjà mensual (Euros/mes)","1196.3"
2021,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)","1070.1"
2021,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)","953.3"
2021,2,2,"Eixample",10,"Sant Antoni","Lloguer mitjà mensual (Euros/mes)","928.8"
2021,2,3,"Sants-Montjuïc",11,"el Poble Sec","Lloguer mitjà mensual (Euros/mes)","773.7"
2021,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Lloguer mitjà mensual (Euros/mes)","--"
2021,2,3,"Sants-Montjuïc",13,"la Marina de Port","Lloguer mitjà mensual (Euros/mes)","772.4"
2021,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Lloguer mitjà mensual (Euros/mes)","810.8"
2021,2,3,"Sants-Montjuïc",15,"Hostafrancs","Lloguer mitjà mensual (Euros/mes)","772.8"
2021,2,3,"Sants-Montjuïc",16,"la Bordeta","Lloguer mitjà mensual (Euros/mes)","815.4"
2021,2,3,"Sants-Montjuïc",17,"Sants - Badal","Lloguer mitjà mensual (Euros/mes)","778.1"
2021,2,3,"Sants-Montjuïc",18,"Sants","Lloguer mitjà mensual (Euros/mes)","815.4"
2021,2,4,"Les Corts",19,"les Corts","Lloguer mitjà mensual (Euros/mes)","998.8"
2021,2,4,"Les Corts",20,"la Maternitat i Sant Ramon","Lloguer mitjà mensual (Euros/mes)","904.8"
2021,2,4,"Les Corts",21,"Pedralbes","Lloguer mitjà mensual (Euros/mes)","1680.3"
2021,2,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Lloguer mitjà mensual (Euros/mes)","1074.7"
2021,2,5,"Sarrià-Sant Gervasi",23,"Sarrià","Lloguer mitjà mensual (Euros/mes)","1298.0"
2021,2,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Lloguer mitjà mensual (Euros/mes)","1429.0"
2021,2,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Lloguer mitjà mensual (Euros/mes)","1226.1"
2021,2,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Lloguer mitjà mensual (Euros/mes)","1339.1"
2021,2,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Lloguer mitjà mensual (Euros/mes)","1024.4"
2021,2,6,"Gràcia",28,"Vallcarca i els Penitents","Lloguer mitjà mensual (Euros/mes)","924.5"
2021,2,6,"Gràcia",29,"el Coll","Lloguer mitjà mensual (Euros/mes)","796.8"
2021,2,6,"Gràcia",30,"la Salut","Lloguer mitjà mensual (Euros/mes)","859.2"
2021,2,6,"Gràcia",31,"la Vila de Gràcia","Lloguer mitjà mensual (Euros/mes)","881.0"
2021,2,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Lloguer mitjà mensual (Euros/mes)","880.1"
2021,2,7,"Horta-Guinardó",33,"el Baix Guinardó","Lloguer mitjà mensual (Euros/mes)","820.2"
2021,2,7,"Horta-Guinardó",34,"Can Baró","Lloguer mitjà mensual (Euros/mes)","773.5"
2021,2,7,"Horta-Guinardó",35,"el Guinardó","Lloguer mitjà mensual (Euros/mes)","818.2"
2021,2,7,"Horta-Guinardó",36,"la Font d'en Fargues","Lloguer mitjà mensual (Euros/mes)","817.7"
2021,2,7,"Horta-Guinardó",37,"el Carmel","Lloguer mitjà mensual (Euros/mes)","667.6"
2021,2,7,"Horta-Guinardó",38,"la Teixonera","Lloguer mitjà mensual (Euros/mes)","713.8"
2021,2,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Lloguer mitjà mensual (Euros/mes)","653.5"
2021,2,7,"Horta-Guinardó",40,"Montbau","Lloguer mitjà mensual (Euros/mes)","729.9"
2021,2,7,"Horta-Guinardó",41,"la Vall d'Hebron","Lloguer mitjà mensual (Euros/mes)","884.2"
2021,2,7,"Horta-Guinardó",42,"la Clota","Lloguer mitjà mensual (Euros/mes)","--"
2021,2,7,"Horta-Guinardó",43,"Horta","Lloguer mitjà mensual (Euros/mes)","734.9"
2021,2,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Lloguer mitjà mensual (Euros/mes)","754.4"
2021,2,8,"Nou Barris",45,"Porta","Lloguer mitjà mensual (Euros/mes)","698.5"
2021,2,8,"Nou Barris",46,"el Turó de la Peira","Lloguer mitjà mensual (Euros/mes)","671.8"
2021,2,8,"Nou Barris",47,"Can Peguera","Lloguer mitjà mensual (Euros/mes)","--"
2021,2,8,"Nou Barris",48,"la Guineueta","Lloguer mitjà mensual (Euros/mes)","698.3"
2021,2,8,"Nou Barris",49,"Canyelles","Lloguer mitjà mensual (Euros/mes)","673.8"
2021,2,8,"Nou Barris",50,"les Roquetes","Lloguer mitjà mensual (Euros/mes)","608.7"
